,HINDI,MUNDARI
,,
1,जोहार मध्यप्रदेश ! राम राम सेवा जोहार !,
2,मोर सगा जनजाति बहिन भाई ला स्वागत जोहार करता हूँ। हुं तमारो सुवागत करूं।,
3,"तमुम् सम किकम छो? माल्थन आप सबान सी मिलिन,बड़ी खुशी हुई रयली ह। आप सबान थन, फिर सी राम राम ।",
4,"मध्य प्रदेश के राज्यपाल श्री मंगूभाई पटेल जी, जिन्‍होंने अपना पूरा जीवन आदिवासियों के कल्‍याण के लिए खपा दिया।",
5,"वे जीवनभर आदिवासियों के जीवन के लिए सामाजिक संगठन के रूप में, सरकार में मंत्री के रूप में एक समर्पित आदिवासियों के सेवक के रूप में रहे।",
6,"और मुझे गर्व है कि मध्‍यप्रदेश के पहले आदिवासी गर्वनर, इसका सम्‍मान श्री मंगूभाई पटेल के खाते में जाता है।",
7,"मंच पर विराजमान मध्य प्रदेश के मुख्यमंत्री श्रीमान शिवराज सिंह चौहान जी, केंद्रीय मंत्रिमंडल में मेरे सहयोगी नरेंद्र सिंह तोमर जी, ज्योतिरादित्य सिंधिया जी, वीरेंद्र कुमार जी, प्रह्लाद पटेल जी, फग्गन सिंह कुलस्ते जी, एल मुरुगन जी, एमपी सरकार के मंत्रिगण, संसद के मेरे सहयोगी सांसद, विधायकगण और मध्य प्रदेश के कोने-कोने से हम सभी को आशीर्वाद देने आए जनजातीय समाज के मेरे भाइयों और बहनों, आप सभी को भगवान बिरसा मुंडा के जन्म दिवस पर बहुत-बहुत शुभकामनाएं !",
8,"आज का दिन पूरे देश के लिए, पूरे जनजातीय समाज के लिए बहुत बड़ा दिन है। आज भारत, अपना पहला जनजातीय गौरव दिवस मना रहा है।",
9,"आज़ादी के बाद देश में पहली बार इतने बड़े पैमाने पर, पूरे देश के जनजातीय समाज की कला-संस्कृति, स्वतंत्रता आंदोलन और राष्ट्रनिर्माण में उनके योगदान को गौरव के साथ याद किया जा रहा है, उन्हें सम्मान दिया जा रहा है।",
10,"आजादी के अमृत महोत्सव में इस नए संकल्प के लिए, मैं पूरे देश को बहुत-बहुत बधाई देता हूं। मैं आज यहां मध्य प्रदेश के जनजातीय समाज का आभार भी व्यक्त करता हूं।",
11,"बीते अनेक वर्षों में निरंतर हमें आपका स्नेह, आपका विश्वास मिला है। ये स्नेह हर पल और मज़बूत होता जा रहा है।",
12,आपका यही प्यार हमें आपकी सेवा के लिए दिन-रात एक करने की ऊर्जा देता है।,
13,इसी सेवाभाव से ही आज आदिवासी समाज के लिए शिवराज जी की सरकार ने कई बड़ी योजनाओं का शुभारंभ किया है।,
14,"और आज जब कार्यक्रम के प्रांरभ में मेरे आदिवासी जनजातीय समूह के सभी लोग अलग-अलग मंच पर गीत के साथ, धूम के साथ अपनी भावनाएं प्रकट कर रहे थे। मैंने प्रयास किया उन गीतों को समझने के लिए।",
15,क्‍योंकि मेरा ये अनुभव रहा है कि जीवन का एक महत्‍वपूर्ण कालखंड मैंने आदिवासियों के बीच में बिताया है और मैंने देखा है कि उनकी हर बात में कोई न कोई तत्‍वज्ञान होता है।,
16,"Purpose of life आदिवासी अपने नाच-गान में, अपने गीतों में, अपनी परम्‍पराओं में बखूबी प्रस्‍तुत करते हैं। और इसलिए आज के इस गीत के प्रति मेरा ध्‍यान जाना बहुत स्‍वाभाविक था।",
17,"और मैंने जब गीत के शब्‍दों को बारीकी से देखा तो मैं गीत को तो नहीं दोहरा रहा हूं, लेकिन आपने जो कहा- शायद देशभर के लोगों को आपका एक-एक शब्‍द जीवन जीने का कारण, जीवन जीने का इरादा, जीवन जीने के हेतु बखूबी प्रस्‍तुत करता है।",
18,"आपने अपने नृत्‍य के द्वारा, अपने गीत के द्वारा आज प्रस्‍तुत किया- शरीर चार दिनों का है, अंत में मिट्टी में मिल जाएगा।",
19,"खाना-पीना खूब किया, भगवान का नाम भुलाया। देखिए ये आदिवासी हमें क्‍या कह रहे हैं जी। सचमुच में वे शिक्षित हैं कि हमें अभी सीखना बाकी है! आगे कहते हैं-मौज मस्‍ती में उम्र बिता दी, जीवन सफल नहीं किया।",
20,"अपने जीवन में लड़ाई-झगड़ा खूब किया, घर में उत्‍पाद भी खूब किया। जब अंत समय आया तो मन में पछताना व्‍यर्थ है।",
21,"धरती, खेत-खलिहान, किसी के नहीं हैं- देखिए, आदिवासी मुझे क्‍या समझा रहा है! धरती, खेत-खलिहान किसी के नहीं हैं, अपने मन में गुमान करना व्‍यर्थ है। ये धन-दौलत कोई काम के नहीं हैं, इसको यहीं छोड़कर जाना है।",
22,"आप देखिए- इस संगीत में, इस नृत्‍य में जो शब्‍द कहे गए हैं वो जीवन का उत्‍तम तत्‍वज्ञान जंगलों में जिंदगी गुजारने वाले मेरे आदिवासी भाई-बहनों ने आत्‍मसात् किया है।",
23,इससे बड़ी किसी देश की ताकत क्‍या हो सकती है! इससे बड़ी किसी देश की विरासत क्‍या हो सकती है! इससे बड़ी देश की पूंजी क्‍या हो सकती है!,
24,इसी सेवाभाव से ही आज आदिवासी समाज के लिए शिवराज जी की सरकार ने कई बड़ी योजनाओं का शुभारंभ किया है।,
25,"राशन आपके ग्राम योजना हो या फिर मध्य प्रदेश सिकल सेल मिशन हो, ये दोनों कार्यक्रम आदिवासी समाज में स्वास्थ्य और पोषण को बेहतर बनाने में अहम भूमिका निभाएंगे।",
26,मुझे इसका भी संतोष है कि प्रधानमंत्री गरीब कल्याण अन्न योजना के तहत मुफ्त राशन मिलने से कोरोना काल में गरीब आदिवासी परिवारों को इतनी बड़ी मदद मिलेगी।,
27,"अब जब गांव में आपके घर के पास सस्ता राशन पहुंचेगा तो, आपका समय भी बचेगा और अतिरिक्त खर्च से भी मुक्ति मिलेगी।",
28,"आयुष्मान भारत योजना से पहले ही अनेक बीमारियों का मुफ्त इलाज आदिवासी समाज को मिल रहा है, देश के गरीबों को मिल रहा है।",
29,मुझे खुशी है कि मध्य प्रदेश में जनजातीय परिवारों में तेज़ी से मुफ्त टीकाकरण भी हो रहा है। दुनिया के पढ़े-लिखे देशों में भी टीकाकरण को लेकर सवालिया निशान लगाने की खबरें आती हैं।,
30,"लेकिन मेरा आदिवासी भाई-बहन टीकाकरण के महत्‍व को समझता भी है, स्‍वीकारता भी है और देश को बचाने में अपनी भूमिका अदा कर रहा है, इससे बड़ी समझदारी क्‍या होती है।",
31,"100 साल की इस सबसे बड़ी महामारी से सारी दुनिया लड़ रही है, सबसे बड़ी महामारी से निपटने के लिए जनजातीय समाज के सभी साथियों का वैक्सीनेशन के लिए आगे बढ़कर आना, सचमुच में ये अपने-आप में गौरवपूर्ण घटना है।",
32,पढ़े-लिखे शहरों में रहने वाले लोगों ने मेरे इन आदिवासी भाइयों से बहुत कुछ सीखने जैसा है।,
33,आज यहां भोपाल आने से पहले मुझे रांची में भगवान बिरसा मुंडा स्वतंत्रता सेनानी म्यूज़ियम का लोकार्पण करने का सौभाग्य मिला है।,
34,"आजादी की लड़ाई में जनजातीय नायक-नायिकाओं की वीर गाथाओं को देश के सामने लाना, उसे नई पीढ़ी से परिचित कराना, हमारा कर्तव्य है।",
35,"गुलामी के कालखंड में विदेशी शासन के खिलाफ खासी-गारो आंदोलन, मिजो आंदोलन, कोल आंदोलन समेत कई संग्राम हुए। गोंड महारानी वीर दुर्गावती का शौर्य हो या फिर रानी कमलापति का बलिदान, देश इन्हें भूल नहीं सकता।",
36,वीर महाराणा प्रताप के संघर्ष की कल्पना उन बहादुर भीलों के बिना नहीं की जा सकती जिन्होंने कंधे से कंधा मिलाकर राणा प्रताप के साथ लड़ाई के मैदान में अपने-आप को बलि चढ़ा दिया था।,
37,"हम सभी इनके ऋणी हैं। हम इस ऋण को कभी चुका नहीं सकते, लेकिन अपनी इस विरासत को संजोकर, उसे उचित स्थान देकर, अपना दायित्व जरूर निभा सकते हैं।",
38,"भाइयों और बहनों,",
39,"आज जब मैं आपसे, अपनी विरासत को संजोने की बात कर रहा हूं, तो देश के ख्यात इतिहासकार, शिव शाहीर बाबासाहेब पुरंदरे जी को भी याद करूंगा।",
40,"आज ही सुबह पता चला वे हमें छोड़कर चले गए, उनका देहावसान हुआ है।",
41,"‘पद्म विभूषण’ बाबासाहेब पुरंदरे जी ने छत्रपति शिवाजी महाराज के जीवन को, उनके इतिहास को सामान्य जन तक पहुंचाने में जो योगदान दिया है, वो अमूल्य है।",
42,"यहां की सरकार ने उन्हें कालिदास पुरस्कार भी दिया था। छत्रपति शिवाजी महाराज के जिन आदर्शों को बाबासाहेब पुरंदरे जी ने देश के सामने रखा, वो आदर्श हमें निरंतर प्रेरणा देते रहेंगे। मैं बाबासाहेब पुरंदरे जी को अपनी भावभीनी श्रद्धांजलि देता हूं।",
43,"आज जब हम राष्ट्रीय मंचों से, राष्ट्र निर्माण में जनजातीय समाज के योगदान की र्चा करते हैं, तो कुछ लोगों को ज़रा हैरानी होती है।",
44,ऐसे लोगों को विश्वास ही नहीं होता कि जनजातीय समाज का भारत की संस्कृति को मजबूत करने में कितना बड़ा योगदान रहा है।,
45,"इसकी वजह ये है कि जनजातीय समाज के योगदान के बारे में या तो देश को बताया ही नहीं गया, अंधेरे में रखने की भरपूर कोशिश की गई, और अगर बताया भी गया तो बहुत ही सीमित दायरे में जानकारी दी गई।",
46,"ऐसा इसलिए हुआ क्योंकि आज़ादी के बाद दशकों तक जिन्होंने देश में सरकार चलाई, उन्होंने अपनी स्वार्थ भरी राजनीति को ही प्राथमिकता दी।",
47,"देश की आबादी का करीब-करीब 10 प्रतिशत होने के बावजूद, दशकों तक जनजातीय समाज को, उनकी संस्कृति, उनके सामर्थ्य को पूरी तरह नजरअंदाज कर दिया गया।",
48,"आदिवासियों का दुख, उनकी तकलीफ, बच्चों की शिक्षा, आदिवासियों का स्वास्थ्य, उन लोगों के लिए कोई मायने नहीं रखता था।",
49,"साथियों,",
50,भारत की सांस्कृतिक यात्रा में जनजातीय समाज का योगदान अटूट रहा है।,
51,"आप ही बताइए, जनजातीय समाज के योगदान के बिना क्या प्रभु राम के जीवन में सफलताओं की कल्पना की जा सकती है? बिल्कुल नहीं।",
52,वनवासियों के साथ बिताए समय ने एक राजकुमार को मर्यादा पुरुषोत्तम बनाने में अहम योगदान दिया।,
53,"वनवास के उसी कालखंड में प्रभु राम ने वनवासी समाज की परंपरा, रीति- रिवाज, रहन-सहन के तौर-तरीके, जीवन के हर पहलू से प्रेरणा पाई थी।",
54,"साथियों,",
55,"आदिवासी समाज को उचित महत्व ना देकर, प्राथमिकता ना देकर, पहले की सरकारों ने, जो अपराध किया है, उस पर लगातार बोला जाना आवश्यक है।",
56,"हर मंच पर चर्चा होना जरूरी है। जब दशकों पहले मैंने गुजरात में अपने सार्वजनिक जीवन की शुरुआत की थी, तभी से मैं देखता आया हूं कि कैसे देश में कुछ राजनीतिक दलों ने सुख-सुविधा और विकास के हर संसाधन से आदिवासी समाज को वंचित रखा।",
