,HINDI,MUNDARI
,,
1,जोहार!,
2,"झारखंड के राज्यपाल श्रीमान संतोष गंगवार जी, केंद्रीय कैबिनेट के मेरे सहयोगी श्री जुयल ओराम जी, इसी धरती की संतान मंत्री परिषद में मेरी साथी बहन अन्नपूर्णा देवी जी, संजय सेठ जी, श्री दुर्गादास उइके जी, यही के हमारे सांसद श्री मनीष जायसवाल जी, समस्त जन-प्रतिनिधिगण, और उपस्थित भाइयों एवं बहनों!",
3,आज मुझे एक बार फिर झारखंड की विकासयात्रा में सहभागी बनने का सौभाग्य मिल रहा है। कुछ ही दिन पहले मैं जमशेदपुर आया था।,
4,जमशेदपुर से मैंने झारखंड के लिए सैकड़ों करोड़ की विकास परियोजनाओं का शुभारंभ किया था। झारखंड के हजारों गरीबों को पीएम-आवास योजना के तहत अपना पक्का घर मिला था।,
5,"और अब कुछ ही दिनों के भीतर.... आज फिर एक बार झारखंड आकर के, आज झारखंड से 80 हजार करोड़ रुपए से ज्यादा की विकास परियोजनाओं का शिलान्यास और लोकार्पण हुआ है।",
6,ये योजनाएँ आदिवासी समाज के कल्याण और आदिवासी समाज के उत्थान से जुड़ी हैं। ये भारत सरकार द्वारा देश के आदिवासी समाज को मिल रही प्राथमिकता का प्रमाण है।,
7,"मैं सभी झारखंड वासियों को, सभी देशवासियों को इन विकास कार्यों के लिए बहुत-बहुत बधाई देता हूँ।",
8,"साथियों,",
9,"आज महात्मा गांधी पूज्य बापू की जन्म जयंती है। आदिवासी विकास के लिए उनका विजन, उनके विचार हमारी पूंजी हैं।",
10,"गांधी जी का मानना था कि भारत का विकास तभी हो सकता है, जब जनजातीय समाज का तेज विकास हो। मुझे संतोष है कि आज हमारी सरकार आदिवासी उत्थान पर सबसे ज्यादा ध्यान दे रही है।",
11,"अभी मैंने यहाँ धरती आबा जनजातीय ग्राम उत्कर्ष अभियान, एक बहुत बड़े कार्यक्रम का शुभारंभ किया है। इस योजना पर करीब 80 हजार करोड़ रुपए खर्च किए जाएंगे।",
12,धरती आबा जनजातीय ग्राम उत्कर्ष अभियान के तहत करीब साढ़े 5 सौ जिलों में 63 हजार आदिवासी बहुल गाँवों का विकास करने का अभियान चलाया जाएगा।,
13,इन आदिवासी बहुल गाँवों में सामाजिक-आर्थिक वहां के जीवन को बेहतर बनाने के लिए काम होगा। इसका लाभ देश के 5 करोड़ से ज्यादा मेरे आदिवासी भाई-बहनों को मिलेगा।,
14,झारखंड के आदिवासी समाज को भी इसका बहुत बड़ा फायदा होगा।,
15,"साथियों,",
16,"मुझे खुशी है कि धरती आबा जनजातीय ग्राम उत्कर्ष अभियान, की शुरुआत भगवान बिरसा मुंडा की धरती से हो रही है।",
17,भगवान बिरसा मुंडा की जन्मजयंती के दिन...यहां झारखंड से ही पीएम-जनमन योजना भी लॉंच हुई थी। अगले महीने 15 नवंबर को जनजातीय गौरव दिवस पर हम पीएम-जनमन योजना की पहली वर्षगांठ मनाएंगे।,
18,"पीएम-जनमन योजना के जरिए आज देश के उन आदिवासी इलाकों में भी विकास पहुँच रहा है, जो सबसे पीछे छूट गए थे, कोई पूछने वाला नहीं था।",
19,आज यहाँ पीएम-जनमन योजना के अंतर्गत भी करीब साढ़े 13 सौ करोड़ रुपए के विकास कार्यों का शिलान्यास हुआ है।,
20,"इसके तहत अति-पिछड़े आदिवासी इलाकों में बेहतर जीवन के लिए शिक्षा, स्वास्थ्य और सड़क जैसी सुविधाओं का निर्माण किया जाएगा।",
21,"भाइयों और बहनों,",
22,इस एक साल में ही पीएम-जनमन ने झारखंड में कई उपलब्धियां हासिल की हैं। अति पिछड़े साढ़े नौ सौ से ज्यादा गाँवों में हर घर जल पहुंचाने का काम भी पूरा कर लिया गया है।,
23,"राज्य में 35 वनधन विकास केन्द्रों को भी स्वीकृति दी गई है। साथ ही, सुदूर आदिवासी इलाकों को मोबाइल कनेक्टिविटी से भी जोड़ने के लिए काम हो रहा है।",
24,"ये विकास, ये बदलाव हमारे आदिवासी समाज को प्रगति के समान अवसर देगा।",
25,"साथियों,",
26,"हमारा आदिवासी समाज तब आगे बढ़ेगा, जब आदिवासी युवाओं को अच्छी शिक्षा के अवसर मिलेंगे।",
27,इसके लिए हमारी सरकार आदिवासी क्षेत्रों में एकलव्य आवासीय विद्यालय बनाने के अभियान में बहुत मेहनत कर रही है।,
28,आज यहाँ से 40 एकलव्य आवासीय विद्यालयों का लोकार्पण हुआ है। 25 नए एकलव्य स्कूलों की नींव भी रखी गई है।,
29,एकलव्य स्कूल सभी आधुनिक सुविधाओं से लैस हों....वहाँ हाइ स्टैंडर्ड की शिक्षा मिले...इसके लिए हमने हर स्कूल के बजट को भी करीब दोगुना कर दिया है।,
30,"भाइयों और बहनों,",
31,"जब सही प्रयास किए जाते हैं, तो सही परिणाम मिलता ही है। मुझे विश्वास है, हमारे आदिवासी युवा आगे बढ़ेंगे, और उनके सामर्थ्य का लाभ देश को मिलेगा।",
32,"साथियों,",
33,"मैं यहां लंबा प्रवचन नहीं करने वाला हूं, क्योंकि इसके बाद यहां 3-4 किलोमीटर की दूरी पर बहुत बड़ा आदिवास समाज का बहुत बड़ा मेला लगा हुआ है।",
34,"मैं वहां जा रहा हूं, और वहां मैं जी-भरकर के बोलने वाला हूं, जमकर के बोलने वाला हूं।",
35,"और इसलिए सरकार के इस कार्यक्रम की मर्यादाओं को समझते हुए, मैं यहां मैं अपना भाषण लंबा नहीं कर रहा हूं।",
36,लेकिन इसके बावजूद भी शायद एक कार्यक्रम में इतने लोग आ जाए ना तो भी लोग कहेंगे ओ...हो...हो कार्यक्रम बहुत बड़ा था।,
37,"लेकिन ये तो सरकारी कार्यक्रम के लिए छोटी सी व्यवस्था में करना था, बड़ा कार्यक्रम तो अभी होने वाला है।",
38,"लेकिन ये कार्यक्रम अगर इतना बड़ा है तो वो कार्यक्रम शायद इससे कितना बड़ा होगा। तो आज मेरे झारखंड के भाई-बहनों ने, मैं उतरते ही देख रहा हूं क्या कमाल कर दिया है।",
39,"ये आपका प्यार, ये आपका आशीर्वाद मुझे आदिवासी समाज की और अधिक सेवा करने की ताकत देगा। इसी भाव के साथ, मैं एक बार फिर आप सभी को इन विकास कार्यों की बहुत-बहुत बधाई देता हूँ, आपका बहुत-बहुत धन्यवाद करता हूं।",
40,"और आशा करता हूं आप सब भी जरूर वहां आइए, वहां बहुत सी बातें करने का मुझे अवसर मिलेगा।",
41,जय जोहार।,
