,HINDI,MUNDARI
,,
1,नमस्कार।,
2,"जोहार, राम-राम। इस समय देश में उत्सव का माहौल है। उत्तरायण, मकर संक्रांति, पोंगल, बीहू, कितने ही त्योहारों की उमंग चारों तरफ छाई हुई है।",
3,"इस उत्साह को आज का ये आयोजन और शानदार, जानदार बना दिया। और आप से बात कर मेरा भी उत्सव बन गया।",
4,"आज एक ओर जब आयोध्या में दिपावली मनाई जा रही है, तो दूसरी ओर एक लाख अति-पिछड़े मेरे जनजातीय भाई-बहन, जो मेरे परिवार के ही सदस्य हैं।",
5,"मेरे इन जनजातीय परिवार, अति-पिछड़े जनजातीय परिवार, उनके घर दिवाली मन रही है, ये अपने आप में मेरे लिए बहुत बड़ी खुशी है। आज उनके बैंक खाते में पक्के घर के लिए पैसे ट्रांसफर किए जा रहे हैं।",
6,"मैं इन सभी परिवारों को बहुत-बहुत बधाई देता हूं, मकर संक्रांति की शुभकामनाएं देता हूं, और मुझे ये पुण्य कार्य करने के लिए निमित बनने का अवसर मिलता है, ये भी मेरे जीवन में बहुत आनंद की बात है।",
7,साथियों,
8,"आज, आज से आपके घरों का काम शुरु होने जा रहा है। मुझे विश्वास है कि इस साल की दीपावली आप अपने घरों में जरूर मनाएंगे।",
9,"तो जल्दी से जल्दी मकान का काम कीजिए, बीच में बारिश आ जाए तो भी अभी से तैयारी कर लिजिए। पक्का कर लिजिए कि इस बार दिवाली अपने पक्के, नए घर में मनानी है।",
10,"देखिए, अभी कुछ दिनों के बाद 22 जनवरी को रामलला भी अपने भव्य और दिव्य मंदिर में हमें दर्शन देंगे। और मेरा सौभाग्य है कि मुझे अयोध्या में बन रहे राम मंदिर की प्राण प्रतिष्ठा में बुलाया है, तो ये आप सबके आशीर्वाद से ऐसा सौभाग्य मिलता है।",
11,"इन दिनों, ये जब इतना बड़ा काम है, आपने इतना बड़ा मुझे दायित्व दिया है, तो मैंने भी 11 दिन व्रत-अनुष्ठान का एक संकल्प किया हुआ है, श्री राम का ध्यान स्मरण कर रहा हूं।",
12,"और आप तो जानते ही है, जब आप प्रभु राम का स्मरण करेंगे तो माता शबरी की याद आना बहुत स्वाभाविक है।",
13,"साथियों,",
14,श्री राम की कथा माता शबरी के बिना संभव ही नहीं हैं।,
15,"अयोध्या से जब राम निकले थे, तब तो वो राजकुमार राम थे, लेकिन राजकुमार राम मर्यादा पुरुषोत्तम इस रूप में हमारे सामने आए क्योंकि माता शबरी हो, केवट हो, निषादराज हो, ना जाने कौन-कौन से लोग, जिनके सहयोग, जिनके सानिध्य ने राजकुमार राम को प्रभु राम बना दिया।",
16,"दशरथ पुत्र राम, दीनबंधु राम तभी बन सके जब उन्होंने आदिवासी माता शबरी के बेर खाए। रामचरित मानस में कहा गया है- कह रघुपति सुनु भामिनि बाता।",
17,मानउँ एक भगति कर नाता॥ यानी भगवान श्रीराम ने अपने भक्त से सिर्फ भक्ति के संबंध को सबसे बड़ा कहा है।,
18,"त्रेता में राजाराम की कथा हो या आज की राज कथा, बिना गरीब, बिना वंचित, बिना वनवासी भाई-बहनों के कल्याण के संभव ही नहीं है।",
19,"इसी सोच के साथ हम लगातार काम कर रहे हैं। हमने 10 साल गरीबों के लिए समर्पित किए, 10 साल में गरीबों को 4 करोड़ से पक्के घर बनाकर दिए हैं। जिनको कभी किसी ने पूछा नहीं, उनको मोदी आज पूछता भी है, पूजता भी है।",
20,"साथियों,",
21,"सरकार आप तक पहुंचे, सरकार की योजनाएं अति-पिछड़े मेरे जनजातीय भाई-बहन तक पहुंचें, यही पीएम जनमन महाअभियान का उद्देश्य है।",
22,"और सिर्फ 2 महीने में ही पीएम जनमन महा-अभियान ने वो लक्ष्य हासिल करने शुरू कर दिए हैं, जो पहले कोई नहीं कर सका।",
23,"मुझे याद है जब ठीक दो महीने पहले भगवान बिरसा मुंडा की जन्मजयंती पर सरकार ने ये अभियान शुरू किया था, तो हम सबके सामने चुनौती कितनी बड़ी थी।",
24,"हमारे अति-पिछड़े मेरे जनजातीय साथी, जो दूर-सुदूर जंगलों में रहते हैं, जो दूर ऊंचे पहाड़ों पर मुश्किल परिस्थितियों में रहते हैं, जो बॉर्डर के, सीमा के क्षेत्रों में रहते हुए दशकों से विकास का इंतजार कर रहे हैं, जिन तक पहुंचना भी सरकारी मशीनरी के लिए बहुत कठिन होता है, उन लोगों तक पहुंचने के लिए इतना बड़ा अभियान हमारी सरकार ने शुरू किया है।",
25,"और मैं जिले के सभी सरकारी अधिकारी, राज्यों के सरकारी अधिकारी उन सबको सच्चे दिल से बहुत बधाई देता हूं कि इतना बड़ा काम जो 75 साल तक हम नहीं कर पाते थे, अफसरों ने मन बना लिया, मेरी बात का साथ दिया और आज गरीब के घर दिवाली की संभावना पैदा हुई है।",
26,देश में बहुत से लोग कल्पना तक नहीं कर सकते कि हमारे ये भाई-बहन कितनी कठिनाइयों में रहते हैं।,
27,"प्रदूषित पानी की वजह से आप लोग कैसी-कैसी बीमारियों का शिकार होते हैं, आपके बच्चों पर संकट रहा है, इस पर जितना ध्यान देना चाहिए, उतना नहीं दिया गया।",
28,"बिजली नहीं होने से कभी सांप, कभी बिच्छू, कभी जंगली जानवर का खतरा...गैस कनेक्शन ना होने से रसोई में लकड़ी के धुएं से होने वाला नुकसान...गांव तक सड़क ना होने से कहीं पर भी आना-जाना बहुत बड़ा सिरदर्द होता था।",
29,"इस संकट, इस परेशानी से ही तो मुझे अपने इन गरीब जनजातीय भाई-बहनों को बाहर निकालना है।",
30,"अब ऐसी मुसीबतों में आपके मां-बाप को रहना पड़ा, आपके पूर्वजों को रहना पड़ा, मैं आपको ऐसी मुसीबत में रहने नहीं दूंगा। आपके आने वाले पीढ़ी के लिए भी ऐसी मुसीबत में जीना पड़े ये स्थिति हमें मंजूर नहीं है।",
31,"और आप जानते हैं, इस अभियान का नाम जनमन क्यों रखा गया है? जन मतलब आप सभी जनता जनार्दन...जो मेरे लिए ईश्वर का रूप है।",
32,"आप सभी जनजातीय भाई-बहन और मन यानि आपके मन की बात। अब मन मारकर नहीं रहना है, अब आपके मन की बात पूरी होगी और इसके लिए सरकार ने भी मन बना लिया है, ठान लिया है।",
33,"इसलिए सरकार, पीएम जनमन महा-अभियान पर 23 हजार करोड़ रुपए से ज्यादा खर्च करने जा रही है।",
34,"साथियों,",
35,"हमारे देश का विकास तभी हो सकता है जब समाज में कोई छूटे नहीं, हर किसी तक सरकार की योजनाओं का लाभ पहुंचे। ",
36,हमारे अति-पिछड़े जनजातीय समुदाय के भाई-बहन देश के करीब-करीब 190 जिलों में रहते हैं।,
37,"सिर्फ दो महीने के भीतर सरकार ने ऐसे 80 हजार से ज्यादा अति-पिछड़े मेरे जनजातीय परिवारजन, मेरे भाई-बहनों को खोज कर के उन्हें आयुष्मान कार्ड दिया, जो अब तक उन तक पहुंचा ही नहीं था।",
38,"इसी तरह सरकार ने अति-पिछड़े जनजातीय समुदाय के करीब 30 हजार किसानों को पीएम किसान सम्मान निधि से जोड़ा है। इस अभियान के दौरान 40 हजार ऐसे साथी भी मिले, जिनके पास अब तक बैंक खाता ही नहीं था।",
39,"अब सरकार ने इनके बैंक खाते भी खुलवाए है। ऐसे ही 30 हजार से ज्यादा वंचितों को किसान क्रेडिट कार्ड दिए गए हैं, करीब 11 हजार को वन अधिकार एक्ट के तहत जमीन के पट्टे दिए गए हैं। और ये आंकड़े अभी पिछले दो महीनों के ही हैं।",
40,अभी तो हर दिन इस संख्या में वृद्धि हो रही है। सरकार पूरी ताकत लगा रही है कि हमारे अति-पिछड़े जनजातीय भाई-बहनों तक सरकार की हर योजना जल्द से जल्द पहुंचे।,
41,मेरा कोई अति-पिछड़ा भाई-बहन अब सरकार की योजना के लाभ से छूटेगा नहीं। मैं आपको ये विश्वास दिलाता हूं और ये मोदी की गारंटी है।,
42,और आप जानते हैं कि मोदी की गारंटी यानि गारंटी पूरा होने की गारंटी।,
43,"साथियों,",
44,इसी कड़ी में आज आप सभी अति-पिछड़े जनजातीय भाई-बहनों को पक्के मकान देने की शुरुआत हुई है।,
45,अभी इस कार्यक्रम में एक लाख जनजातीय लाभार्थियों के बैंक खातों में पक्के घर बनाने के लिए सरकार ने सीधे पैसे ट्रांसफर किए हैं।,
46,"आपको अपना घर बनाने के लिए लगभग एक-एक घर के लिए ढाई लाख रुपए सरकार से मिलेंगे। और हां, बस घर ही नहीं मिलेगा, इतने से बात रूकने वाली नहीं है, बिजली का कनेक्शन मिलेगा ताकि आपके बच्चे पढ़ सकें, आपके सपने पूरे हो सकें।",
47,"आपके नए घर में साफ पानी की व्यवस्था हो ताकि कोई बीमारी हमारे घर में ना आए, और वो कनेक्शन भी मुफ्त दिया जाएगा।",
48,"माताओं बहनों को बाहर खुले में शौच जाना पड़ता है, उनके लिए वो कितनी मुसीबत होती है, अंधेरे का इंतजार करना पड़े, सुबह सूरज निकलने से पहले जाना पड़े, और सम्मान को भी चोट पहुंचे।",
49,हर मेरी माताओं-बहनों को सम्मान मिले इसलिए हर घर में शौचालय भी होगा। खाना बनाने के लिए रसोई गैस का कनेक्शन भी होगा।,
50,"और ये सब कुछ मकान तो मिलेगा ही, साथ-साथ ये व्यवस्थाएं भी मिलेंगी। और मेरी माताएं-बहने जरा सुनिए ये तो अभी शुरूआत हुई है। आज 1 लाख लाभार्थियों को अपने घर का पैसा मिला है।",
51,"एक-एक कर हर लाभार्थी तक, चाहे वो कितनी भी दूर क्यों ना हो, हमारी सरकार उस तक जरूर पहुंचेगी। और ये जब मैं कह रहा हूं तो मैं फिर एक बार आपको कहता हूं ये मोदी की गारंटी है।",
52,"और आज मैं इस कार्यक्रम के माध्यम से आप सबको, हर अति-पिछड़े जनजातीय लाभार्थी को एक और भरोसा देना चाहता हूं। आपको अपना घर बनाने के लिए, इसका पैसा पाने के लिए किसी को भी एक भी रुपए नहीं देना है।",
53,"कोई भी आपसे पैसे मांगे, तो पैसा केंद्र सरकार भेज रही है उसमें से हिस्सा मांगे, तो आप एक भी रुपया किसी को मत देना।",
54,"मेरे भाइयों-बहनों,",
55,"ये पैसों पर हक आपका है, कोई बिचौलिए का नहीं है। मेरी बहनों और भाइयों मेरे जीवन का बहुत लंबा वक्त आप सभी मेरे आदिवासी भाई-बहनों के बीच गुजरा है।",
56,"मुझे आपके बीच रहने का सौभाग्य मिला है, शहरों-कस्बों से दूर, घनी आबादी से दूर रहते हुए आप सब जनजातीय लोग जिस तरह की मुश्किलों का सामना करते हैं, इसका मुझे भली-भांति एहसास है।",
57,"पीएम जनमन महाअभियान शुरू करने में मुझे इन अनुभवों से बहुत मदद मिली। इसके उपरांत, इस अभियान को शुरू करने में मुझे बहुत बड़ा मार्गदर्शन, हमारे देश की राष्ट्रपति आदरणीय द्रौपदी मुर्मू जी से मिला है।",
