Generated	CHRF2	CHRF2++	BLEU Details
भारत माता की जय।	100.0	100.0	BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4)
भारत माता की जय।	100.0	100.0	BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4)
भारत माता की जय।	100.0	100.0	BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4)
"""""""मेरे प्यारे देशवासियों, मेरे परिवार के लोग।"""""	12.736460485342526	13.628882018343283	BLEU = 15.13 46.2/25.0/9.1/5.0 (BP = 1.000 ratio = 1.000 hyp_len = 13 ref_len = 13)
"""आज वह शुभ समय है, जब हम देश के लिए मरने वालों, देश की आजादी के लिए जीवन जीने वालों, जीवन जीने वालों, लड़ाई में भाग लेने वालों, मिट्टी की लड़ाई में भाग लेने वालों, भारत की माँ जय को देखने वाली अनगिनत आजादी की रातों की यह त्योहार है।"""	16.332254517560607	14.905839343933058	BLEU = 1.82 15.5/1.8/0.9/0.5 (BP = 1.000 ratio = 1.289 hyp_len = 58 ref_len = 45)
उनका पुण्डा विचर का पर्व है।	18.93472942579413	14.201047069345599	BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6)
आजादी के युगों ने आज हमें आजादी के इस त्योहार में स्वतंत्रता की प्रेरणा दी है।	24.030311592822837	21.006500033249946	BLEU = 3.25 25.0/3.3/1.8/1.0 (BP = 0.939 ratio = 0.941 hyp_len = 16 ref_len = 17)
यह देश उनका ऋण है।	4.385964912280701	3.289473684210526	BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5)
इस प्रकार सभी महापुरूषों के साथ हम अपना श्रद्धाभाव देते हैं।	32.951609675612396	24.713707256709295	BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 1.100 hyp_len = 11 ref_len = 10)
मेरे प्यारे देश के लोग।	7.826345342022215	5.869759006516661	BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 1.250 hyp_len = 5 ref_len = 4)
"""आज जो बड़ी संभावनाएँ हैं, देश की रक्षा के लिए और देश के निर्माण के लिए पूरी तरह, पूरी तरह इच्छा के साथ देश की रक्षा भी कर रहे हैं। देश तो नए पैरों पर जाने की कोशिश कर रहा है।"""	12.687171254603125	10.235648687501014	BLEU = 0.97 4.4/1.1/0.6/0.3 (BP = 1.000 ratio = 1.364 hyp_len = 45 ref_len = 33)
चाहे वह हमारी खेती बासी हो या मजबूत हो या मजबूत लोगों का हौसला हो या माँ बहनों की सहायता हो या दलित न हो, दुःख न हो, शोषित न हो। अब तो हमारे बीच भी स्वतंत्रता के लिए उसकी बात, लोकतंत्र के लिए उसकी श्रद्धा दुनिया भर के लिए एक आश्चर्यजनक घटना है।	23.453025676659646	20.7400437014229	BLEU = 2.37 21.1/3.6/0.9/0.5 (BP = 1.000 ratio = 1.018 hyp_len = 57 ref_len = 56)
मैं आज इस प्रकार के सभी को सम्मान से स्वीकार करता हूँ।	9.395021221329456	8.248191849782812	BLEU = 3.39 8.3/4.5/2.5/1.4 (BP = 1.000 ratio = 1.200 hyp_len = 12 ref_len = 10)
प्यारे देश के लोग।	8.679113326375134	6.509334994781349	BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 1.333 hyp_len = 4 ref_len = 3)
इस साल और अगले साल से सिरासिता के कारण हम सभी की चिंता बढ़ रही है।	16.449143983911608	13.128331584531935	BLEU = 2.45 6.2/3.3/1.8/1.0 (BP = 1.000 ratio = 1.000 hyp_len = 16 ref_len = 16)
सिरासिता में बहुत से लोग अपने परिवार के लोगों को बुलाए और चीजें बुलाए और देश में भी बहुत नुकसान उठाए।	15.616485800667329	12.745588910589193	BLEU = 1.79 9.5/2.5/1.3/0.7 (BP = 0.827 ratio = 0.840 hyp_len = 21 ref_len = 25)
मैं आज उन सब के सामने देख रहा हूँ और उन्हें विश्वास कर रहा हूँ कि यह देश उनके साथ खड़ा है।	8.174600109230939	6.1309500819232055	BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.834 ratio = 0.846 hyp_len = 22 ref_len = 26)
मेरे प्यारे देश के लोग।	7.826345342022215	5.869759006516661	BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 1.250 hyp_len = 5 ref_len = 4)
हमें आजादी से कुछ पहले के उस दिन को याद रखना चाहिए। सौ वर्ष की गुलामी से सारा दौर संघर्ष था।	20.512938693597473	17.342182018280763	BLEU = 2.39 14.3/2.5/1.3/0.7 (BP = 1.000 ratio = 1.105 hyp_len = 21 ref_len = 19)
